Subject,Domain,Site Loads,HTTPS Enabled,Mobile Responsive,Schema Markup Present,Schema Types Found,llms.txt Exists,Robots.txt AI Crawlers,FAQ Content,Meta Description,Blog/Resources Section,Reviews Displayed,Team/About Page,Service Area Pages,Google Business Profile Link,Overall Notes,Error
https://ultimatemovers.net,theultimatemoversllc.com,YES - The site loads successfully.,YES,YES,NO,NONE,YES,NOT_MENTIONED - The robots.txt file exists but does not specifically mention any AI crawlers. It has 'User-agent: *' which allows all crawlers.,YES - The site has a dedicated FAQ page with Q&A formatted content.,NO - The homepage does not have a meta description.,YES - The site has a 'Resources' section with blog-style articles.,YES - The site has a dedicated 'Reviews' page displaying customer testimonials.,PARTIAL - The site has an 'About' page that mentions the owner's name but does not contain detailed bios or photos of the team.,YES - The site has a dedicated 'Areas We Serve' page with links to individual location pages.,NO - There is no visible link to a Google Business Profile or Google Maps page.,"The website is generally well-structured with good content for users, including a blog, FAQs, and service area pages. However, it is lacking in technical AI readiness signals such as schema markup and a specific meta description. The presence of an llms.txt file is a positive signal. The design is clean and modern.",
https://california-seattleexpress.com,california-seattleexpress.com,YES - The site loads successfully with an HTTP 200 status code.,YES,YES,YES,"WebPage, BreadcrumbList, WebSite, MovingCompany, AggregateRating",NO,"NOT_MENTIONED - The robots.txt file exists but does not contain any directives for GPTBot, ClaudeBot, or PerplexityBot.",NO - No dedicated FAQ page or Q&A section was found on the homepage.,"YES - 'California-Seattle Express is a professional licensed long distance moving company. We offer packing services, moving supplies, car shipping and more.'",YES - The site has a blog with numerous articles providing moving tips and guides.,YES - Customer testimonials are displayed on the homepage.,"PARTIAL - The site has an 'About Us' page, but it does not feature individual team member bios.",YES - The footer contains links to numerous service area pages.,NO - No direct link to a Google Business Profile or Google Maps page was found.,"The website is well-structured with a blog, service area pages, and customer reviews. It has basic schema markup but could be improved by adding more specific types like FAQPage or Service. The site is mobile-friendly and uses HTTPS. For AI readiness, it's missing an llms.txt file and specific directives for AI crawlers in robots.txt.",
https://crosscountrymovers.com,crosscountrymovers.com,YES - The site loads successfully with an HTTP 200 status code.,YES,YES,YES,"WebPage, BreadcrumbList, WebSite, Organization, UserCheckins, Person",YES,"NOT_MENTIONED - The robots.txt file does not specifically mention GPTBot, ClaudeBot, or PerplexityBot.",YES - The site has a dedicated FAQ page with accordian-style Q&A content.,YES - Cross Country Moving Company is one of the top recommended long distance moving service providers in the United States. Move with confidence.,YES - The site has a blog with regularly updated content.,YES - The site has a dedicated reviews page with customer testimonials.,"PARTIAL - The site has an 'About Us' page, but it does not contain individual team member bios.",YES - The site has a dedicated 'Areas We Serve' page with a list of states and cities.,NO - There is no direct link to a Google Business Profile or Google Maps page.,"The website is well-optimized for search engines and has several AI readiness factors in place, including a llms.txt file and schema markup. The content is fresh, and the site is user-friendly. To further improve, the site could add more specific schema types like MovingCompany and FAQPage, and include a direct link to their Google Business Profile.",
https://crosscountrymovingcompany.net,crosscountrymovingcompany.net,YES - The site loads successfully with an HTTP 200 status code.,YES,YES,YES,"MovingCompany, AggregateRating, OpeningHoursSpecification, ContactPoint, BreadcrumbList, WebSite",YES,"NOT_MENTIONED - The robots.txt file does not specifically mention GPTBot, ClaudeBot, or PerplexityBot.",NO - There is no dedicated FAQ page or section with Q&A content.,YES - Cross Country Moving Company offers trusted nationwide movers and full service moving across the USA. Expert interstate movers for stress-free moving. Call 628-215-4935 for your free quote today.,YES - The site has a blog section with multiple articles.,YES - The site has a dedicated reviews page and displays testimonials on the homepage.,YES - The site has an 'About Us' page.,YES - The site has an 'Areas We Serve' section with numerous location pages.,NO - There is no direct link to a Google Business Profile or Google Maps page.,"The website is well-structured with good content and clear calls-to-action. It has a modern design and is mobile-friendly. The presence of schema markup, an llms.txt file, and a blog are all positive signals for AI readiness. The robots.txt file could be more specific about AI crawlers.",
https://eastcoastwestcoastmovers.com,eastcoastwestcoastmovers.com,YES,YES,YES,YES,"MovingCompany, AggregateRating, ContactPoint, WebPage, BreadcrumbList, WebSite",NO,"NOT_MENTIONED - The robots.txt file does not mention GPTBot, ClaudeBot, or PerplexityBot.",NO - There is no dedicated FAQ page or section on the website.,YES - East Coast West Coast Movers is a reputable professional moving company offering cross-country relocation services for years.,YES - The site has a blog with multiple articles.,YES - The site has a dedicated testimonials page with numerous customer reviews.,NO - The about us page describes the company but does not feature individual team members or bios.,YES - The site has a dedicated page listing numerous cities they service across the country.,NO - There is no direct link to a Google Business Profile or Google Maps page.,"The website is well-structured with a blog, testimonials, and service area pages, which is good for AI readiness. However, it lacks a llms.txt file, has no specific AI crawler directives in robots.txt, and is missing FAQ and team pages. Adding these elements would significantly improve its AI/GEO readiness.",
https://flatpriceautotransport.com,flatpriceautotransport.com,YES - The site loads successfully with an HTTP 200 status code.,YES,YES,YES,"MovingCompany, AggregateRating",NO,ALLOWED - The robots.txt file does not explicitly disallow any major AI crawlers.,YES - The site has a dedicated FAQ page with questions and answers in an accordion format.,NO - The homepage does not have a meta description tag.,"YES - The site has a blog section with city guides, moving tips, and other resources.",YES - The site has a dedicated reviews page with numerous customer testimonials.,"PARTIAL - The site has an about page, but it does not contain individual team member bios.",YES - The site has a dedicated 'Cities Served' page with a list of locations.,NO - There is no link to a Google Business Profile or Google Maps on the site.,"The website is well-structured with a blog, reviews, and service area pages. It has some schema markup but is missing a meta description and a llms.txt file. The robots.txt file is permissive for AI crawlers. The site is mobile-friendly and uses HTTPS.",
https://kerbmoving.com,kerbmoving.com,YES - HTTP 200,YES,YES,NO,NONE,YES,BLOCKED - llms.txt disallows training for all user agents.,NO,NO,NO,NO,NO,NO,NO,The website is a parked domain lander and not a functional business website. It has a llms.txt file that disallows AI training.,
https://ldmovers.com,ldmovers.com,REDIRECT - The site redirects to https://longdistanceusamovers.com/ and loads successfully.,YES,YES,YES,"WebPage, BreadcrumbList, WebSite, Organization, MovingCompany, AggregateRating, Review, Person",NO,NO_ROBOTS_TXT,NO - No dedicated FAQ page or section was found.,"YES - With the help of Long Distance USA Movers, you can rest assured that you will get the best long-distance moving services.","YES - There is a blog link in the navigation, but the page failed to load.",YES - Customer reviews are displayed on the homepage.,NO - The 'About Us' page failed to load.,NO - The 'Cities Served' page failed to load.,NO - No link to Google Business Profile or Google Maps was found.,"The website redirects from ldmovers.com to longdistanceusamovers.com. Many of the internal links on the homepage are broken, including links to the 'About Us', 'Blog', and 'Cities Served' pages. The site has a good variety of schema markup, but is missing both llms.txt and robots.txt files.",
https://longdistancemovers.com,longdistancemovers.com,YES - The site loads successfully with an HTTP 200 status code.,YES,YES,YES,"WebPage, BreadcrumbList, WebSite, Organization, MovingCompany, AggregateRating",YES,"NOT_MENTIONED - The robots.txt file does not explicitly mention GPTBot, ClaudeBot, PerplexityBot, or Google-Extended.",NO - No dedicated FAQ page or FAQ section was found.,"YES - ""Long Distance Movers strive to make sure people have a smooth relocation process. We have a history of being the most trusted movers.""",YES - The site has a blog with numerous articles.,"YES - The homepage has a ""User Review & Feedback"" section.","NO - The ""About Us"" page does not have team bios.","YES - The site has a ""Cities Served"" section with links to various location pages.",NO - No link to a Google Business Profile or Google Maps was found.,"The website is well-structured with good content and some GEO/AI readiness signals like schema markup and an llms.txt file. However, it could be improved by adding a dedicated FAQ section, including team bios to build trust, and explicitly allowing AI crawlers in the robots.txt file. The lack of a visible Google Business Profile link is also a missed opportunity for local SEO.",
https://longdistancemovingexperts.com,longdistancemovingexperts.com,YES - The site loads successfully with an HTTP 200 status code.,YES,YES,YES,"WebPage, BreadcrumbList, WebSite",NO,NOT_MENTIONED - The robots.txt file allows all user agents but does not specifically mention any AI crawlers.,YES - The site has a dedicated FAQ page with extensive Q&A content.,YES - We are long distance moving experts. As long distance movers we take every job with the same outstanding care and precision. Whether you are moving to,YES - The site has a blog with numerous articles and moving guides.,YES - The site has a dedicated reviews page with customer testimonials.,NO - The 'About Us' page provides a company history but no individual team member bios.,NO - The 'Cities' link in the navigation leads to a 404 error page.,NO - There is no visible link to a Google Business Profile or Google Maps.,"The website is well-structured with a good amount of content, including a blog and FAQ page. However, it lacks specific local SEO signals like service area pages and a Google Business Profile link. The schema markup is present but could be more comprehensive. The site is generally AI-crawler-friendly due to a permissive robots.txt file.",
